Unnamed: 0,review,rating,topic,topic_probability,topic_label,rating_number_only,sentiment
18651,poor,2 stars,3,0.5833308,"Food quality issues (cold/old fries, burgers, nuggets)",2,negative
18652,good,4 stars,2,0.5833332,"Overall good price, quality, service",4,positive
18653,pleasant,4 stars,1,0.58331853,"Fast and quick service, clean place, friendly staff",4,positive
18654,food,2 stars,5,0.5804532,"Miscellanous, general complains about environment",2,negative
18655,food soso,3 stars,5,0.5805147,"Miscellanous, general complains about environment",3,neutral
18656,excellent,5 stars,2,0.5833328,"Overall good price, quality, service",5,positive
18657,good big mac,3 stars,5,0.54121,"Miscellanous, general complains about environment",3,neutral
18658,neutral,3 stars,5,0.5833314,"Miscellanous, general complains about environment",3,neutral
18659,good,4 stars,2,0.5833332,"Overall good price, quality, service",4,positive
18660,good,4 stars,2,0.58333313,"Overall good price, quality, service",4,positive
18661,good,4 stars,2,0.58333313,"Overall good price, quality, service",4,positive
18662,excellent,5 stars,2,0.5833328,"Overall good price, quality, service",5,positive
18663,neutral,3 stars,5,0.5833314,"Miscellanous, general complains about environment",3,neutral
18664,good,4 stars,2,0.58333313,"Overall good price, quality, service",4,positive
18665,good,4 stars,2,0.5833332,"Overall good price, quality, service",4,positive
18666,excellent,5 stars,2,0.58333284,"Overall good price, quality, service",5,positive
18667,neutral,3 stars,5,0.5833314,"Miscellanous, general complains about environment",3,neutral
18668,excellent,5 stars,2,0.5833328,"Overall good price, quality, service",5,positive
18669,excellent,5 stars,2,0.5833328,"Overall good price, quality, service",5,positive
18670,good,4 stars,2,0.58333313,"Overall good price, quality, service",4,positive
18671,poor,2 stars,3,0.5833308,"Food quality issues (cold/old fries, burgers, nuggets)",2,negative
18672,poor,2 stars,3,0.5833308,"Food quality issues (cold/old fries, burgers, nuggets)",2,negative
18673,excellent,5 stars,2,0.5833328,"Overall good price, quality, service",5,positive
18674,good,4 stars,2,0.5833332,"Overall good price, quality, service",4,positive
18675,neutral,3 stars,5,0.5833314,"Miscellanous, general complains about environment",3,neutral
18676,excellent,5 stars,2,0.5833328,"Overall good price, quality, service",5,positive
18677,excellent,5 stars,2,0.5833328,"Overall good price, quality, service",5,positive
18678,good,4 stars,2,0.5833332,"Overall good price, quality, service",4,positive
18679,good,4 stars,2,0.58333313,"Overall good price, quality, service",4,positive
18682,good,4 stars,2,0.58333313,"Overall good price, quality, service",4,positive
18683,excellent,5 stars,2,0.5833328,"Overall good price, quality, service",5,positive
18684,excellent,5 stars,2,0.5833328,"Overall good price, quality, service",5,positive
18685,good,4 stars,2,0.58333313,"Overall good price, quality, service",4,positive
18686,neutral,3 stars,5,0.58333147,"Miscellanous, general complains about environment",3,neutral
18687,good,4 stars,2,0.5833332,"Overall good price, quality, service",4,positive
18688,neutral,3 stars,5,0.58333147,"Miscellanous, general complains about environment",3,neutral
18691,excellent,5 stars,2,0.5833328,"Overall good price, quality, service",5,positive
18692,good,4 stars,2,0.5833332,"Overall good price, quality, service",4,positive
18693,excellent,5 stars,2,0.5833328,"Overall good price, quality, service",5,positive
18694,good,4 stars,2,0.58333313,"Overall good price, quality, service",4,positive
18695,good,4 stars,2,0.5833332,"Overall good price, quality, service",4,positive
18696,good,4 stars,2,0.5833332,"Overall good price, quality, service",4,positive
18697,neutral,3 stars,5,0.5833314,"Miscellanous, general complains about environment",3,neutral
18698,excellent,5 stars,2,0.58333284,"Overall good price, quality, service",5,positive
18699,excellent,5 stars,2,0.5833328,"Overall good price, quality, service",5,positive
18700,excellent,5 stars,2,0.58333284,"Overall good price, quality, service",5,positive
18701,neutral,3 stars,5,0.5833314,"Miscellanous, general complains about environment",3,neutral
18702,good,4 stars,2,0.5833332,"Overall good price, quality, service",4,positive
18703,excellent,5 stars,2,0.58333284,"Overall good price, quality, service",5,positive
18704,excellent,5 stars,2,0.58333284,"Overall good price, quality, service",5,positive
18705,excellent,5 stars,2,0.58333284,"Overall good price, quality, service",5,positive
18706,neutral,3 stars,5,0.5833314,"Miscellanous, general complains about environment",3,neutral
18707,good,4 stars,2,0.58333313,"Overall good price, quality, service",4,positive
18708,good,4 stars,2,0.5833332,"Overall good price, quality, service",4,positive
18709,good,4 stars,2,0.5833332,"Overall good price, quality, service",4,positive
18710,neutral,3 stars,5,0.58333147,"Miscellanous, general complains about environment",3,neutral
18711,excellent,5 stars,2,0.5833328,"Overall good price, quality, service",5,positive
18712,good,4 stars,2,0.58333313,"Overall good price, quality, service",4,positive
18713,neutral,3 stars,5,0.5833314,"Miscellanous, general complains about environment",3,neutral
18714,excellent,5 stars,2,0.5833328,"Overall good price, quality, service",5,positive
18715,excellent,5 stars,2,0.58333284,"Overall good price, quality, service",5,positive
18716,neutral,3 stars,5,0.5833314,"Miscellanous, general complains about environment",3,neutral
18717,excellent,5 stars,2,0.5833328,"Overall good price, quality, service",5,positive
18718,good,4 stars,2,0.5833332,"Overall good price, quality, service",4,positive
18719,excellent,5 stars,2,0.5833328,"Overall good price, quality, service",5,positive
18720,excellent,5 stars,2,0.5833328,"Overall good price, quality, service",5,positive
18721,excellent,5 stars,2,0.5833328,"Overall good price, quality, service",5,positive
18722,neutral,3 stars,5,0.5833314,"Miscellanous, general complains about environment",3,neutral
18723,good,4 stars,2,0.5833332,"Overall good price, quality, service",4,positive
18724,excellent,5 stars,2,0.58333284,"Overall good price, quality, service",5,positive
18725,neutral,3 stars,5,0.5833314,"Miscellanous, general complains about environment",3,neutral
18726,neutral,3 stars,5,0.5833314,"Miscellanous, general complains about environment",3,neutral
18728,good,4 stars,2,0.5833332,"Overall good price, quality, service",4,positive
18729,poor,2 stars,3,0.5833308,"Food quality issues (cold/old fries, burgers, nuggets)",2,negative
18730,neutral,3 stars,5,0.5833314,"Miscellanous, general complains about environment",3,neutral
18731,neutral,3 stars,5,0.5833314,"Miscellanous, general complains about environment",3,neutral
18732,good,4 stars,2,0.5833332,"Overall good price, quality, service",4,positive
18733,excellent,5 stars,2,0.5833328,"Overall good price, quality, service",5,positive
18734,good,4 stars,2,0.5833332,"Overall good price, quality, service",4,positive
18735,good,4 stars,2,0.5833332,"Overall good price, quality, service",4,positive
18736,excellent,5 stars,2,0.5833328,"Overall good price, quality, service",5,positive
18737,excellent,5 stars,2,0.5833328,"Overall good price, quality, service",5,positive
18738,neutral,3 stars,5,0.5833314,"Miscellanous, general complains about environment",3,neutral
